iter	RMSE
0	2.50318066
1	2.481060737
2	2.452676779
3	2.42431943
4	2.399404992
5	2.375831287
6	2.347669597
7	2.325128038
8	2.299202384
9	2.274017697
10	2.249714241
11	2.226786877
12	2.222978768
13	2.21177499
14	2.203537249
15	2.18159727
16	2.164872711
17	2.150022431
18	2.140657897
19	2.12128732
20	2.109690755
21	2.097593356
22	2.079594468
23	2.070350821
24	2.065811437
25	2.05937265
26	2.05065554
27	2.0386619
28	2.032057553
29	2.019088754
30	2.010906903
31	1.999923958
32	1.987345288
33	1.974866305
34	1.970953336
35	1.964812459
36	1.950859622
37	1.944430451
38	1.936443596
39	1.923439482
40	1.918524634
41	1.913745598
42	1.910371751
43	1.901434542
44	1.894914256
45	1.883014659
46	1.872341738
47	1.861245897
48	1.850589716
49	1.839983667
50	1.83814576
51	1.830113758
52	1.820204536
53	1.817333004
54	1.81451807
55	1.808819592
56	1.802954201
57	1.800976488
58	1.795346252
59	1.789898892
60	1.787099032
61	1.786566621
62	1.78328112
63	1.778243435
64	1.772663206
65	1.77187634
66	1.766866637
67	1.763909592
68	1.758838743
69	1.757905819
70	1.756177263
71	1.754332298
72	1.75327826
73	1.752739149
74	1.750513428
75	1.747566964
76	1.745237699
77	1.74419406
78	1.74126617
79	1.738956656
80	1.736906754
81	1.735150749
82	1.73273533
83	1.728148528
84	1.727846809
85	1.721301089
86	1.7209891
87	1.717789812
88	1.711239828
89	1.705599384
90	1.702830182
91	1.700953408
92	1.699543432
93	1.699253935
94	1.698929079
95	1.698647591
96	1.69372984
97	1.69199824
98	1.688168152
99	1.68567002
100	1.685361108
101	1.683543405
102	1.683345737
103	1.681499159
104	1.681184821
105	1.677440002
106	1.677185763
107	1.674067247
108	1.673080642
109	1.672888191
110	1.672288276
111	1.670240009
112	1.668557375
113	1.664942536
114	1.663343705
115	1.660277008
116	1.654218519
117	1.652820261
118	1.649534095
119	1.646819908
120	1.645431356
121	1.645257527
122	1.645061031
123	1.642965596
124	1.641523264
125	1.639142891
126	1.637877996
127	1.635996026
128	1.633234901
129	1.630120169
130	1.629946451
131	1.627694337
132	1.626882199
133	1.624552668
134	1.620087117
135	1.618246592
136	1.618020932
137	1.617776303
138	1.613361397
139	1.612919267
140	1.610600445
141	1.607587325
142	1.606243226
143	1.604150895
144	1.602338734
145	1.60081745
146	1.598372235
147	1.596417318
148	1.594119528
149	1.592942881
150	1.591154427
151	1.589391316
152	1.587310881
153	1.585460569
154	1.58328985
155	1.580755862
156	1.578650966
157	1.576604553
158	1.574274369
159	1.572633932
160	1.570406091
161	1.567596498
162	1.566476426
163	1.564692267
164	1.563006257
165	1.561386193
166	1.559922828
167	1.55851103
168	1.557119543
169	1.556373231
170	1.555098089
171	1.553307387
172	1.551904082
173	1.550269084
174	1.548992733
175	1.546335126
176	1.544732009
177	1.543335805
178	1.541851252
179	1.540415648
180	1.538971937
181	1.537650648
182	1.536318437
183	1.534686749
184	1.533632874
185	1.532609356
186	1.531360053
187	1.530151989
188	1.528983744
189	1.52801126
190	1.526621887
191	1.525067134
192	1.523975349
193	1.523013497
194	1.522128418
195	1.520653195
196	1.519287968
197	1.518288835
198	1.517456749
199	1.516496597
