iter	Passed	Remaining
0	141	28168
1	142	14080
2	142	9379
3	143	7030
4	144	5620
5	144	4679
6	145	4006
7	145	3501
8	146	3109
9	147	2794
10	147	2537
11	148	2322
12	148	2141
13	149	1985
14	150	1850
15	150	1732
16	151	1628
17	151	1535
18	152	1452
19	153	1378
20	153	1309
21	154	1249
22	155	1192
23	155	1141
24	156	1093
25	156	1049
26	157	1010
27	158	972
28	158	936
29	159	903
30	160	872
31	160	843
32	161	816
33	161	790
34	162	765
35	163	742
36	163	720
37	164	700
38	164	680
39	165	661
40	166	645
41	167	629
42	167	613
43	168	597
44	169	582
45	169	568
46	170	554
47	170	541
48	171	528
49	172	516
50	172	504
51	173	492
52	173	481
53	174	471
54	174	461
55	175	451
56	176	442
57	176	432
58	177	424
59	178	415
60	178	407
61	179	399
62	179	391
63	180	383
64	181	376
65	182	370
66	184	365
67	184	358
68	185	352
69	186	345
70	186	339
71	187	333
72	188	327
73	188	321
74	189	315
75	189	309
76	190	304
77	191	299
78	191	293
79	192	288
80	193	283
81	193	279
82	195	275
83	196	270
84	196	266
85	197	261
86	198	257
87	199	253
88	199	249
89	200	244
90	201	240
91	201	237
92	202	233
93	203	229
94	204	225
95	204	221
96	205	217
97	205	214
98	206	210
99	207	207
100	207	203
101	208	200
102	209	197
103	210	194
104	211	190
105	211	187
106	212	184
107	213	181
108	213	178
109	214	175
110	215	172
111	215	169
112	216	166
113	217	163
114	217	160
115	218	158
116	219	155
117	219	152
118	220	150
119	221	147
120	221	144
121	222	142
122	224	140
123	224	137
124	225	135
125	226	132
126	226	130
127	227	127
128	228	125
129	228	123
130	229	120
131	230	118
132	230	116
133	231	114
134	232	111
135	232	109
136	233	107
137	234	105
138	234	103
139	235	100
140	236	98
141	237	96
142	237	94
143	238	92
144	239	90
145	239	88
146	240	86
147	241	84
148	241	82
149	242	80
150	243	78
151	243	77
152	244	75
153	245	73
154	245	71
155	246	69
156	247	67
157	248	65
158	248	64
159	249	62
160	250	60
161	250	58
162	251	57
163	252	55
164	252	53
165	253	51
166	254	50
167	254	48
168	255	46
169	256	45
170	257	43
171	258	42
172	258	40
173	259	38
174	260	37
175	260	35
176	261	33
177	262	32
178	263	30
179	264	29
180	264	27
181	265	26
182	266	24
183	267	23
184	267	21
185	268	20
186	269	18
187	269	17
188	270	15
189	271	14
190	272	12
191	272	11
192	273	9
193	274	8
194	275	7
195	275	5
196	276	4
197	277	2
198	277	1
199	278	0
