item_id,item_name,collected_at,chaos_value,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3,pct_change_prev,pct_change_next
1,Orb of Scouring,2026-06-27 01:35:43,1.25,1.29,1.29,0.7308,1.1036,0.3228542705308388,-0.03100775193798455,-0.24871999999999997
1,Orb of Scouring,2026-06-27 02:35:43,0.9391,1.25,1.29,1.29,1.2766666666666666,0.02309401076758736,-0.24871999999999994,0.0
1,Orb of Scouring,2026-06-27 03:35:43,0.9391,0.9391,1.25,1.29,1.1597,0.1920892240600708,0.0,0.054520285379618685
1,Orb of Scouring,2026-06-27 04:35:43,0.9903,0.9391,0.9391,1.25,1.0427333333333333,0.1794981986910548,0.05452028537961873,0.0
1,Orb of Scouring,2026-06-27 05:35:43,0.9903,0.9903,0.9391,0.9391,0.9561666666666667,0.029560333782509555,0.0,-0.008381298596384907
1,Orb of Scouring,2026-06-27 06:35:43,0.982,0.9903,0.9903,0.9391,0.9732333333333333,0.029560333782509614,-0.008381298596384923,0.018329938900203683
1,Orb of Scouring,2026-06-27 07:35:43,1.0,0.982,0.9903,0.9903,0.9875333333333334,0.004792007234279055,0.018329938900203624,0.0
1,Orb of Scouring,2026-06-27 08:35:43,1.0,1.0,0.982,0.9903,0.9907666666666666,0.009009069504304199,0.0,-0.6452
1,Orb of Scouring,2026-06-27 10:28:06,0.3548,1.0,1.0,0.982,0.9940000000000001,0.01039230484541574,-0.6452,0.03410372040586246
1,Orb of Scouring,2026-06-27 11:28:06,0.3669,0.3548,1.0,1.0,0.7849333333333334,0.37250639368114646,0.034103720405862514,0.9741073862087763
1,Orb of Scouring,2026-06-27 12:28:06,0.7243,0.3669,0.3548,1.0,0.5739,0.3690630162993846,0.9741073862087763,0.0
1,Orb of Scouring,2026-06-27 13:28:06,0.7243,0.7243,0.3669,0.3548,0.48200000000000004,0.20992515332851325,0.0,-0.04707993925169131
1,Orb of Scouring,2026-06-27 15:22:14,0.6902,0.7243,0.7243,0.3669,0.6051666666666667,0.20634498620837186,-0.047079939251691294,0.01376412634019118
2,Divine Orb,2026-06-27 01:35:43,603.6,619.0,642.9,645.9,635.9333333333333,14.741212071377728,-0.02487883683360259,-0.027667329357190268
2,Divine Orb,2026-06-27 02:35:43,586.9,603.6,619.0,642.9,621.8333333333334,19.80260925568471,-0.027667329357190296,0.0
2,Divine Orb,2026-06-27 03:35:43,586.9,586.9,603.6,619.0,603.1666666666666,16.054386731772983,0.0,-0.004430056227636774
2,Divine Orb,2026-06-27 04:35:43,584.3,586.9,586.9,603.6,592.4666666666667,9.641749495466485,-0.004430056227636814,0.0
2,Divine Orb,2026-06-27 05:35:43,584.3,584.3,586.9,586.9,586.0333333333333,1.50111069989156,0.0,-0.017285640937874224
2,Divine Orb,2026-06-27 06:35:43,574.2,584.3,584.3,586.9,585.1666666666666,1.5011106998916586,-0.017285640937874214,0.011668408220132239
2,Divine Orb,2026-06-27 07:35:43,580.9,574.2,584.3,584.3,580.9333333333333,5.8312377188149895,0.011668408220132154,0.0
2,Divine Orb,2026-06-27 08:35:43,580.9,580.9,574.2,584.3,579.8000000000001,5.139066063011646,0.0,0.06507144086761933
2,Divine Orb,2026-06-27 10:28:06,618.7,580.9,580.9,574.2,578.6666666666666,3.8682468035703432,0.0650714408676194,0.002424438338451592
2,Divine Orb,2026-06-27 11:28:06,620.2,618.7,580.9,580.9,593.5,21.823840175367646,0.002424438338451518,0.0445017736214123
2,Divine Orb,2026-06-27 12:28:06,647.8,620.2,618.7,580.9,606.6,22.269485849475316,0.04450177362141239,0.0
2,Divine Orb,2026-06-27 13:28:06,647.8,647.8,620.2,618.7,628.9,16.385054165304524,0.0,-0.018524235875270148
2,Divine Orb,2026-06-27 15:22:14,635.8,647.8,647.8,620.2,638.6,15.93486742963237,-0.01852423587527019,0.013683548285624483
3,Chaos Orb,2026-06-27 01:35:43,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
